,game_id,event_id,inning,inning_top_bot,score,batting,fielding,description,player1,player1_end,player2,player2_end,player3,player3_end,player4,player4_end,pinch_player_in,pinch_player_out
1885,20,30,4,top,4-0,Oregon,Stanford,"Soderman, R singled to center field (0-1 K).","Soderman, R",first,,,,,,,,
1886,20,31,4,top,6-0,Oregon,Stanford,"DeLuca, J homered to right field, 2 RBI (0-2 FK) Soderman, R scored.","DeLuca, J",score,"Soderman, R",score,,,,,,
1887,20,32,4,top,6-0,Oregon,Stanford,"Nelson, R struck out swinging (0-2 KKS).","Nelson, R",out,,,,,,,,
1888,20,33,4,top,6-0,Oregon,Stanford,"Travess, T flied out to lf.","Travess, T",out,,,,,,,,
1889,20,34,4,top,6-0,Oregon,Stanford,"Kasser, K grounded out to 1b unassisted (0-0).","Kasser, K",out,,,,,,,,
1890,20,35,4,bot,6-0,Stanford,Oregon,Daschbach struck out swinging (2-2 BSBKFFS).,Daschbach,out,,,,,,,,
1891,20,36,4,bot,6-0,Stanford,Oregon,"Stowers,K fouled out to 3b (1-2 KSBF).","Stowers,K",out,,,,,,,,
1892,20,37,4,bot,6-0,Stanford,Oregon,"Handley, M. grounded out to ss (2-0 BB).","Handley, M.",out,,,,,,,,
1893,20,38,5,top,6-0,Oregon,Stanford,"Bakst,Dan to p for Beck, T..","Bakst,Dan",unknown,,,,,,,,
1894,20,39,5,top,6-0,Oregon,Stanford,"Patzlaff, D grounded out to 2b (0-0).","Patzlaff, D",out,,,,,,,,
1895,20,40,5,top,6-0,Oregon,Stanford,"Steer, S walked (3-0 BBBB).","Steer, S",first,,,,,,,,
1896,20,41,5,top,6-0,Oregon,Stanford,"Matthews, G singled to right field (1-2 KBF) Steer, S advanced to third.","Matthews, G",first,"Steer, S",third,,,,,,
1897,20,42,5,top,6-0,Oregon,Stanford,"Goldfarb, J popped up to 2b (1-2 FSBF).","Goldfarb, J",out,,,,,,,,
1898,20,43,5,top,6-0,Oregon,Stanford,"Soderman, R flied out to lf (0-1 K).","Soderman, R",out,,,,,,,,
1899,20,44,5,bot,6-0,Stanford,Oregon,"Carter, B. flied out to cf (0-0).","Carter, B.",out,,,,,,,,
1900,20,45,5,bot,6-0,Stanford,Oregon,"Branton,B grounded out to ss (1-2 KBKFFF).","Branton,B",out,,,,,,,,
1901,20,46,5,bot,6-0,Stanford,Oregon,"Kuet,J struck out looking (2-2 BBFSK).","Kuet,J",out,,,,,,,,
1902,20,47,6,top,6-0,Oregon,Stanford,"DeLuca, J struck out swinging (0-2 SKS).","DeLuca, J",out,,,,,,,,
1903,20,48,6,top,6-0,Oregon,Stanford,"Nelson, R singled to center field (0-2 FF).","Nelson, R",first,,,,,,,,
1904,20,49,6,top,6-0,Oregon,Stanford,"Travess, T struck out swinging (3-2 BKBSBS) Nelson, R out at second c to ss, caught stealing.","Travess, T",out,"Nelson, R",out,,,,,,
1905,20,50,6,bot,6-0,Stanford,Oregon,"Tawa, T. struck out swinging to catcher (2-2 KSBBFS).","Tawa, T.",out,,,,,,,,
1906,20,51,6,bot,6-0,Stanford,Oregon,"Hoerner,N singled to center field (2-1 BBF).","Hoerner,N",first,,,,,,,,
1907,20,52,6,bot,6-0,Stanford,Oregon,"Wulff, B. struck out looking (3-2 BFFBBK).","Wulff, B.",out,,,,,,,,
1908,20,53,6,bot,6-0,Stanford,Oregon,"Hoerner,N advanced to second on a passed ball.","Hoerner,N",second,,,,,,,,
1909,20,54,6,bot,6-0,Stanford,Oregon,Daschbach flied out to lf (1-1 SB).,Daschbach,out,,,,,,,,
1910,20,55,7,top,6-0,Oregon,Stanford,"Styles, J.H. to p for Bakst,Dan.","Bakst,Dan",unknown,,,,,,,,
1911,20,56,7,top,6-0,Oregon,Stanford,"Kasser, K hit by pitch (0-1 K).","Kasser, K",first,,,,,,,,
1912,20,57,7,top,6-0,Oregon,Stanford,"Kasser, K advanced to second on a passed ball.","Kasser, K",second,,,,,,,,
1913,20,58,7,top,6-0,Oregon,Stanford,"Patzlaff, D walked (3-1 KBBBB).","Patzlaff, D",first,,,,,,,,
1914,20,59,7,top,6-0,Oregon,Stanford,"Patzlaff, D advanced to second on a wild pitch Kasser, K advanced to third on a wild pitch.","Patzlaff, D",second,"Kasser, K",third,,,,,,
1915,20,60,7,top,6-0,Oregon,Stanford,"Rudd, C. to p for Styles, J.H..",,,,,,,,,,
1916,20,61,7,top,6-0,Oregon,Stanford,"Steer, S walked (3-1 BBBKB).","Steer, S",first,,,,,,,,
1917,20,62,7,top,7-0,Oregon,Stanford,"Matthews, G hit by pitch, RBI (0-2 KF) Steer, S advanced to second Patzlaff, D advanced to third Kasser, K scored.","Matthews, G",first,"Steer, S",second,"Patzlaff, D",third,"Kasser, K",score,,
1918,20,63,7,top,7-0,Oregon,Stanford,"Goldfarb, J struck out swinging (1-2 FBFS).","Goldfarb, J",out,,,,,,,,
1919,20,64,7,top,8-0,Oregon,Stanford,"Soderman, R singled to right field, RBI (1-0 B) Matthews, G advanced to second Steer, S advanced to third Patzlaff, D scored.","Soderman, R",first,"Matthews, G",second,"Steer, S",third,"Patzlaff, D",score,,
1920,20,65,7,top,9-0,Oregon,Stanford,"DeLuca, J flied out to rf, SF, RBI (0-0) Matthews, G advanced to third Steer, S scored.","DeLuca, J",out,"Matthews, G",third,"Steer, S",score,,,,
1921,20,66,7,top,9-0,Oregon,Stanford,"Nelson, R flied out to rf (2-1 BBK).","Nelson, R",out,,,,,,,,
1922,20,67,7,bot,9-0,Stanford,Oregon,"Breault, H to p for Yovan, K.","Yovan, K",unknown,,,,,,,,
1923,20,68,7,bot,9-0,Stanford,Oregon,"Stowers,K struck out swinging (0-2 SSS).","Stowers,K",out,,,,,,,,
1924,20,69,7,bot,9-0,Stanford,Oregon,"Handley, M. flied out to cf (3-2 BBFKB).","Handley, M.",out,,,,,,,,
1925,20,70,7,bot,9-0,Stanford,Oregon,"Carter, B. reached on a fielding error by 3b (2-2 FBBFF).","Carter, B.",first,,,,,,,,
1926,20,71,7,bot,9-0,Stanford,Oregon,"Carter, B. advanced to second on a wild pitch.","Carter, B.",second,,,,,,,,
1927,20,72,7,bot,9-0,Stanford,Oregon,"Carter, B. advanced to third on a passed ball.","Carter, B.",third,,,,,,,,
1928,20,73,7,bot,9-0,Stanford,Oregon,"Branton,B flied out to cf (3-2 BBSFBB).","Branton,B",out,,,,,,,,
1929,20,74,8,top,9-0,Oregon,Stanford,"Travess, T grounded out to 2b (2-0 BB).","Travess, T",out,,,,,,,,
1930,20,75,8,top,9-0,Oregon,Stanford,"Kasser, K singled to center field (0-0).","Kasser, K",first,,,,,,,,
1931,20,76,8,top,9-0,Oregon,Stanford,"Patzlaff, D walked (3-2 BKBBKB) Kasser, K advanced to second.","Patzlaff, D",first,"Kasser, K",second,,,,,,
1932,20,77,8,top,9-0,Oregon,Stanford,"Steer, S popped up to 3b (3-1 BBBK).","Steer, S",out,,,,,,,,
