"","date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"116","02/17/2018","Stanford, Calif.",NA,"4","top","0-4","Cal St. Fullerton","Stanford","R. Cardenas flied out to cf (0-2 FK)."
"117","02/17/2018","Stanford, Calif.",NA,"4","top","0-4","Cal St. Fullerton","Stanford","C. Prescott fouled out to 3b (2-1 FBB)."
"118","02/17/2018","Stanford, Calif.",NA,"4","bot","0-4","Stanford","Cal St. Fullerton","Stowers,K doubled to center field (0-0)."
"119","02/17/2018","Stanford, Calif.",NA,"4","bot","0-4","Stanford","Cal St. Fullerton","Tawa, T. grounded out to p (2-1 SBB)."
"120","02/17/2018","Stanford, Calif.",NA,"4","bot","0-4","Stanford","Cal St. Fullerton","Wilson, A. grounded out to 2b (0-0) Stowers,K advanced to third."
"121","02/17/2018","Stanford, Calif.",NA,"4","bot","0-4","Stanford","Cal St. Fullerton","Kuet,J grounded out to 3b (0-0)."
"122","02/17/2018","Stanford, Calif.",NA,"5","top","0-4","Cal St. Fullerton","Stanford","D. Cope doubled down the lf line (2-0 BB)."
"123","02/17/2018","Stanford, Calif.",NA,"5","top","0-4","Cal St. Fullerton","Stanford","T. Lasch doubled down the rf line (0-1 K) D. Cope advanced to third."
"124","02/17/2018","Stanford, Calif.",NA,"5","top","0-4","Cal St. Fullerton","Stanford","J. Hernandez struck out swinging, out at first c to 1b (1-2 FSBS)."
"125","02/17/2018","Stanford, Calif.",NA,"5","top","1-4","Cal St. Fullerton","Stanford","J. Pavletich grounded out to ss, RBI (0-2 KF) T. Lasch advanced to third D. Cope scored."
"126","02/17/2018","Stanford, Calif.",NA,"5","top","1-4","Cal St. Fullerton","Stanford","Z. Weller struck out swinging (2-2 FBKBFS)."
"127","02/17/2018","Stanford, Calif.",NA,"5","bot","1-4","Stanford","Cal St. Fullerton","Hoerner,N singled to third base (2-2 KBKFBF)."
"128","02/17/2018","Stanford, Calif.",NA,"5","bot","1-4","Stanford","Cal St. Fullerton","Hoerner,N stole second."
"129","02/17/2018","Stanford, Calif.",NA,"5","bot","1-4","Stanford","Cal St. Fullerton","Handley, M. grounded out to p (2-2 BSSB)."
"130","02/17/2018","Stanford, Calif.",NA,"5","bot","1-4","Stanford","Cal St. Fullerton","Hoerner,N stole third."
"131","02/17/2018","Stanford, Calif.",NA,"5","bot","1-5","Stanford","Cal St. Fullerton","Bakst,Dan singled through the left side, RBI (3-2 BSFBB) Hoerner,N scored."
"132","02/17/2018","Stanford, Calif.",NA,"5","bot","1-5","Stanford","Cal St. Fullerton","Wulff, B. flied out to rf (0-2 KK)."
"133","02/17/2018","Stanford, Calif.",NA,"5","bot","1-5","Stanford","Cal St. Fullerton","Daschbach struck out swinging (1-2 BKKFS)."
"134","02/17/2018","Stanford, Calif.",NA,"6","top","1-5","Cal St. Fullerton","Stanford","Palisch, J. to p for Bubic, K.."
"135","02/17/2018","Stanford, Calif.",NA,"6","top","1-5","Cal St. Fullerton","Stanford","H. LoForte struck out swinging (1-2 BKSS)."
"136","02/17/2018","Stanford, Calif.",NA,"6","top","1-5","Cal St. Fullerton","Stanford","S.Valenzuela grounded out to ss (2-2 BFSFB)."
"137","02/17/2018","Stanford, Calif.",NA,"6","top","1-5","Cal St. Fullerton","Stanford","R. Cardenas struck out swinging (1-2 BFSFFS)."
"138","02/17/2018","Stanford, Calif.",NA,"6","bot","1-5","Stanford","Cal St. Fullerton","Stowers,K grounded out to 1b unassisted (0-0)."
"139","02/17/2018","Stanford, Calif.",NA,"6","bot","1-5","Stanford","Cal St. Fullerton","G. Velasquez to p for A. Quezada."
"140","02/17/2018","Stanford, Calif.",NA,"6","bot","1-5","Stanford","Cal St. Fullerton","Tawa, T. fouled out to rf (1-2 KKFB)."
"141","02/17/2018","Stanford, Calif.",NA,"6","bot","1-5","Stanford","Cal St. Fullerton","Wilson, A. flied out to cf (0-1 K)."
"142","02/17/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","C. Prescott singled up the middle (2-2 KSBFB)."
"143","02/17/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","D. Cope walked (3-1 BBBKB) C. Prescott advanced to second."
"144","02/17/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","Grech, Z. to p for Palisch, J.."
"145","02/17/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","T. Lasch flied out to rf (1-1 FB)."
"146","02/17/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","Z. Weisz pinch hit for J. Hernandez."
"147","02/17/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","Z. Weisz reached on a fielders choice (0-2 SF) D. Cope out at second ss to 2b C. Prescott advanced to third."
"148","02/17/2018","Stanford, Calif.",NA,"7","top","2-5","Cal St. Fullerton","Stanford","J. Pavletich singled through the left side, RBI (0-0) Z. Weisz advanced to second C. Prescott scored."
"149","02/17/2018","Stanford, Calif.",NA,"7","top","2-5","Cal St. Fullerton","Stanford","J. Richards pinch hit for Z. Weller."
"150","02/17/2018","Stanford, Calif.",NA,"7","top","2-5","Cal St. Fullerton","Stanford","J. Richards flied out to cf (3-1 BFBB)."
"151","02/17/2018","Stanford, Calif.",NA,"7","bot","2-5","Stanford","Cal St. Fullerton","R. Cardenas to 1b."
"152","02/17/2018","Stanford, Calif.",NA,"7","bot","2-5","Stanford","Cal St. Fullerton","C. Prescott to cf."
"153","02/17/2018","Stanford, Calif.",NA,"7","bot","2-5","Stanford","Cal St. Fullerton","Z. Weisz to rf."
"154","02/17/2018","Stanford, Calif.",NA,"7","bot","2-5","Stanford","Cal St. Fullerton","J. Pavletich to 3b."
"155","02/17/2018","Stanford, Calif.",NA,"7","bot","2-5","Stanford","Cal St. Fullerton","J. Richards to lf."
"156","02/17/2018","Stanford, Calif.",NA,"7","bot","2-5","Stanford","Cal St. Fullerton","Kuet,J flied out to cf (2-2 KKBB)."
"157","02/17/2018","Stanford, Calif.",NA,"7","bot","2-5","Stanford","Cal St. Fullerton","Hoerner,N flied out to cf (3-2 BBKFBF)."
"158","02/17/2018","Stanford, Calif.",NA,"7","bot","2-5","Stanford","Cal St. Fullerton","Handley, M. walked (3-2 BKBFBB)."
"159","02/17/2018","Stanford, Calif.",NA,"7","bot","2-5","Stanford","Cal St. Fullerton","Bakst,Dan out at first 1b to p (0-1 K)."
"160","02/17/2018","Stanford, Calif.",NA,"8","top","2-5","Cal St. Fullerton","Stanford","Bakst,Dan."
"161","02/17/2018","Stanford, Calif.",NA,"8","top","2-5","Cal St. Fullerton","Stanford","to p for Grech, Z.."
"162","02/17/2018","Stanford, Calif.",NA,"8","top","2-5","Cal St. Fullerton","Stanford","Bakst,Dan to p."
"163","02/17/2018","Stanford, Calif.",NA,"8","top","2-5","Cal St. Fullerton","Stanford","."
"164","02/17/2018","Stanford, Calif.",NA,"8","top","2-5","Cal St. Fullerton","Stanford","H. LoForte flied out to lf (1-0 B)."
"165","02/17/2018","Stanford, Calif.",NA,"8","top","2-5","Cal St. Fullerton","Stanford","S.Valenzuela struck out swinging (1-2 SBFS)."
"166","02/17/2018","Stanford, Calif.",NA,"8","top","2-5","Cal St. Fullerton","Stanford","R. Cardenas singled to center field (0-2 SF)."
"167","02/17/2018","Stanford, Calif.",NA,"8","top","2-5","Cal St. Fullerton","Stanford","C. Prescott hit by pitch (1-2 BFFF) R. Cardenas advanced to second."
"168","02/17/2018","Stanford, Calif.",NA,"8","top","3-5","Cal St. Fullerton","Stanford","D. Cope singled up the middle, RBI (0-1 K) C. Prescott advanced to second R. Cardenas scored."
"169","02/17/2018","Stanford, Calif.",NA,"8","top","3-5","Cal St. Fullerton","Stanford","Little, J. to p for Bakst,Dan."
"170","02/17/2018","Stanford, Calif.",NA,"8","top","3-5","Cal St. Fullerton","Stanford","T. Lasch singled to second base (0-0) D. Cope advanced to second C. Prescott advanced to third."
"171","02/17/2018","Stanford, Calif.",NA,"8","top","3-5","Cal St. Fullerton","Stanford","Z. Weisz flied out to cf (0-0)."
"172","02/17/2018","Stanford, Calif.",NA,"8","bot","3-5","Stanford","Cal St. Fullerton","Wulff, B. flied out to cf (2-2 KBBF)."
"173","02/17/2018","Stanford, Calif.",NA,"8","bot","3-5","Stanford","Cal St. Fullerton","Daschbach reached on an error by 3b, advanced to second (0-1 K)."
"174","02/17/2018","Stanford, Calif.",NA,"8","bot","3-5","Stanford","Cal St. Fullerton","Stowers,K walked (3-0 BBBB)."
"175","02/17/2018","Stanford, Calif.",NA,"8","bot","3-5","Stanford","Cal St. Fullerton","L. Anderson to p for G. Velasquez."
"176","02/17/2018","Stanford, Calif.",NA,"8","bot","3-5","Stanford","Cal St. Fullerton","Branton,B pinch ran for Daschbach."
"177","02/17/2018","Stanford, Calif.",NA,"8","bot","3-5","Stanford","Cal St. Fullerton","Tawa, T. struck out swinging (2-2 BBKFS)."
"178","02/17/2018","Stanford, Calif.",NA,"8","bot","3-5","Stanford","Cal St. Fullerton","Wilson, A. out at first 1b to p (1-1 FB)."
"179","02/17/2018","Stanford, Calif.",NA,"9","top","3-5","Cal St. Fullerton","Stanford","Branton,B to 2b."
"180","02/17/2018","Stanford, Calif.",NA,"9","top","3-5","Cal St. Fullerton","Stanford","Tawa, T. to cf."
"181","02/17/2018","Stanford, Calif.",NA,"9","top","3-5","Cal St. Fullerton","Stanford","Brueser, N. to 1b for Wilson, A.."
"182","02/17/2018","Stanford, Calif.",NA,"9","top","3-5","Cal St. Fullerton","Stanford","Kuet,J to 3b."
"183","02/17/2018","Stanford, Calif.",NA,"9","top","3-5","Cal St. Fullerton","Stanford","J. Pavletich walked (3-1 BBBKB)."
"184","02/17/2018","Stanford, Calif.",NA,"9","top","3-5","Cal St. Fullerton","Stanford","J. Richards flied out to cf (3-1 BFBB)."
"185","02/17/2018","Stanford, Calif.",NA,"9","top","3-5","Cal St. Fullerton","Stanford","H. LoForte fouled out to 3b (1-2 KFB)."
"186","02/17/2018","Stanford, Calif.",NA,"9","top","3-5","Cal St. Fullerton","Stanford","S.Valenzuela reached on a fielders choice (0-2 KF) J. Pavletich out at second ss to 2b."
"187","02/18/2018","Stanford, Calif.",NA,"1","top","0-0","Cal St. Fullerton","Stanford","H. LoForte walked (3-2 BBKBKB)."
